475205	SUM-3F96	SUM-3F96	85185	19727	2025-03-12 06:59:58.677	E	487126	2	1	388981			0		0			0										E									0	0				00305932/2025	294419	0					0	NFE	399	0	2025-03-12 06:59:58.677					   -	4152		0	0	0
475204	FSF-7E70	FSF-7E70	91620	14211	2025-03-12 06:58:12.080	E	487125	2	1	389495			0		0			0										E									0	0				00305990/2025	294476	0					0	NFE	399	0	2025-03-12 06:58:12.080					   -	4152		0	0	0
475203	FSF-7E70	FSF-7E70	91620	14211	2025-03-12 06:58:00.180	E	487125	2	1	389495			0		0			0										E									0	0				00306009/2025	294492	0					0	NFE	399	0	2025-03-12 06:58:00.180					   -	4152		0	0	0
475202	FBR-6290	FBR-6290	100505	1404	2025-03-12 06:44:57.730	E	487124	2	1	388422			0		0			0										E									0	0				00305692/2025	294217	0					0	NFE	399	0	2025-03-12 06:44:57.730					   -	4152		0	0	0
475201	IXC-5E70	GAE-0H47	41770	1291	2025-03-12 06:40:54.233	E	487132	2	0	389624			0		1			1										E									0	0			L	00306106/2025	21904	0					0	NFE	399	0	2025-03-12 06:40:54.233					   -	4152		0	0	0
475200	MIB-4F37	MIB-4F37	87585	19055	2025-03-12 06:38:26.200	E	487122	2	1	389568			0		0			0										E									0	0				00306103/2025	294577	0					0	NFE	399	0	2025-03-12 06:38:26.200					   -	4152		0	0	0
475199	EWU-9838	EWU-9838	37202	20253	2025-03-12 06:37:13.853	E	487123	2	1	388907			0		0			0										E									0	0				00305988/2025	294474	0					0	NFE	399	0	2025-03-12 06:37:13.853					   -	4152		0	0	0
475198	EWU-9838	EWU-9838	37202	20253	2025-03-12 06:36:24.137	E	487123	2	1	388711			0		0			0										E									0	0				00305856/2025	294365	0					0	NFE	399	0	2025-03-12 06:36:24.137					   -	4152		0	0	0
475197	FWJ-3A37	FWJ-3A37	69889	1410	2025-03-12 06:29:42.697	E	487120	2	1	389506			0		0			0										E									0	0				00306076/2025	294557	0					0	NFE	399	0	2025-03-12 06:29:42.697					   -	4152		0	0	0
475196	BWN-3A15	BWN-3A15	112208	13149	2025-03-12 06:27:36.557	E	487119	2	1	389434			0		0			0										E									0	0				00306001/2025	294485	0					0	NFE	399	0	2025-03-12 06:27:36.557					   -	4152		0	0	0
475195	ECM-2C90	DPC-0901	2936	11985	2025-03-12 06:26:45.123	E	487121	2	0	389442			0		1			1										E									0	0			L	00305925/2025	21891	0					0	NFE	147	0	2025-03-12 06:26:45.123					   -	4152		0	0	0
475194	IYH-6C72	IYH-6C72	112203	14629	2025-03-12 06:22:53.690	E	487118	2	1	388074			0		0			0										E									0	0				00306094/2025	294571	0					0	NFE	399	0	2025-03-12 06:22:53.690					   -	4152		0	0	0
475193	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:52:09.997	E	487117	2	1	388320			0		0	1	6	0										E									0	0				00306006/2025	294490	0					0	NFE	147	0	2025-03-12 05:52:09.997					   -	4152		0	0	0
475192	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:40:10.467	E	487117	2	1	388437			0		0			0										E									0	0				00305980/2025	294466	0					0	NFE	147	0	2025-03-12 05:40:10.467					   -	4152		0	0	0
475191	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:38:41.927	E	487117	2	1	387909			0		0			0										E									0	0				00306007/2025	294491	0					0	NFE	147	0	2025-03-12 05:38:41.927					   -	4152		0	0	0
475190	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:35:05.310	E	487117	2	1	388444			0		0			0										E									0	0				00306026/2025	294507	0					0	NFE	147	0	2025-03-12 05:35:05.310					   -	4152		0	0	0
475189	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:34:05.187	E	487117	2	1	387996			0		0			0										E									0	0				00306005/2025	294489	0					0	NFE	147	0	2025-03-12 05:34:05.187					   -	4152		0	0	0
475188	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:33:26.500	E	487117	2	1	388758			0		0			0										E									0	0				00306004/2025	294488	0					0	NFE	147	0	2025-03-12 05:33:26.500					   -	4152		0	0	0
475187	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:32:05.747	E	487117	2	1	388654			0		0			0										E									0	0				00305999/2025	294483	0					0	NFE	147	0	2025-03-12 05:32:05.747					   -	4152		0	0	0
475186	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:30:29.607	E	487117	2	1	388563			0		0			0										E									0	0				00305998/2025	294482	0					0	NFE	147	0	2025-03-12 05:30:29.607					   -	4152		0	0	0
475185	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:19:48.580	E	487117	2	1	387917			0		0			0										E									0	0				00305996/2025	294481	0					0	NFE	147	0	2025-03-12 05:19:48.580					   -	4152		0	0	0
475184	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:18:49.207	E	487117	2	1	387088			0		0			0										E									0	0				00305992/2025	294478	0					0	NFE	147	0	2025-03-12 05:18:49.207					   -	4152		0	0	0
475183	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:17:50.973	E	487117	2	1	389264			0		0			0										E									0	0				00305991/2025	294477	0					0	NFE	147	0	2025-03-12 05:17:50.973					   -	4152		0	0	0
475182	RLN-3I04	RYC-4C76	112188	13581	2025-03-12 05:16:43.450	E	487117	2	1	388720			0		0			0										E									0	0				00305979/2025	294465	0					0	NFE	147	0	2025-03-12 05:16:43.450					   -	4152		0	0	0
475181	FPH-3D29	DJB-6B37	48839	10172	2025-03-12 05:13:34.507	E	487113	2	0	389516			0		1			1										E									0	0			L	00306142/2025	21914	0					0	NFE	147	0	2025-03-12 05:13:34.507					   -	4152		0	0	0
475180	FJX-2J31	FXK-1H90	37574	11985	2025-03-12 04:29:34.653	E	487110	2	0	389441			0		1			1										E									0	0			L	00305917/2025	21888	0					0	NFE	147	0	2025-03-12 04:29:34.653					   -	4152		0	0	0
